"userId","movieId","rating","timestamp","Prediction","rating (#1)"
999999,4248,0,123,5.144556045532227,-1
999999,6932,0,123,4.562554359436035,-1
999999,3566,0,123,4.525731563568115,-1
999999,7008,0,123,4.435243129730225,-1
999999,53127,0,123,4.429385662078857,-1
999999,2041,0,123,4.320456504821777,-1
999999,327,0,123,4.311557292938232,-1
999999,4109,0,123,4.3111419677734375,-1
999999,89753,0,123,4.285347938537598,-1
999999,3706,0,123,4.268949508666992,-1
999999,5784,0,123,4.2467522621154785,-1
999999,427,0,123,4.141342639923096,-1
999999,3096,0,123,4.113012313842773,-1
999999,7669,0,123,4.083172798156738,-1
999999,1298,0,123,4.034543991088867,-1
999999,1836,0,123,4.022312641143799,-1
999999,3030,0,123,3.9947116374969482,-1
999999,1209,0,123,3.979607582092285,-1
999999,2836,0,123,3.939809560775757,-1
999999,6509,0,123,3.934755325317383,-1
